Time resolution is 1 ps
Time	State	Sample Valid	SPI CS	SPI CLK	TX Byte	RX Byte	Bytes Sent
708000	2	0	1	1	00	00	  0
708000	2	0	1	1	00	00	  0
708000	2	0	1	1	00	00	  0
709000	2	0	1	1	00	00	  0
709000	2	0	1	1	00	00	  0
709000	2	0	1	1	00	00	  0
709000	2	0	1	1	00	00	  0
709000	2	0	1	1	00	00	  0
710000	2	0	1	1	00	00	  0
710000	2	0	1	1	00	00	  0
710000	2	0	1	1	00	00	  0
710000	2	0	1	1	00	00	  0
710000	2	0	1	1	00	00	  0
711000	2	0	1	1	00	00	  0
711000	2	0	1	1	00	00	  0
711000	2	0	1	1	00	00	  0
711000	2	0	1	1	00	00	  0
711000	2	0	1	1	00	00	  0
712000	2	0	1	1	00	00	  0
712000	2	0	1	1	00	00	  0
712000	2	0	1	1	00	00	  0
712000	2	0	1	1	00	00	  0
712000	2	0	1	1	00	00	  0
713000	2	0	1	1	00	00	  0
713000	2	0	1	1	00	00	  0
713000	2	0	1	1	00	00	  0
713000	2	0	1	1	00	00	  0
713000	2	0	1	1	00	00	  0
714000	2	0	1	1	00	00	  0
714000	2	0	1	1	00	00	  0
714000	2	0	1	1	00	00	  0
714000	2	0	1	1	00	00	  0
714000	2	0	1	1	00	00	  0
715000	2	0	1	1	00	00	  0
715000	2	0	1	1	00	00	  0
715000	2	0	1	1	00	00	  0
715000	2	0	1	1	00	00	  0
715000	2	0	1	1	00	00	  0
716000	2	0	1	1	00	00	  0
716000	2	0	1	1	00	00	  0
716000	2	0	1	1	00	00	  0
716000	2	0	1	1	00	00	  0
716000	2	0	1	1	00	00	  0
717000	2	0	1	1	00	00	  0
717000	2	0	1	1	00	00	  0
717000	2	0	1	1	00	00	  0
717000	2	0	1	1	00	00	  0
717000	2	0	1	1	00	00	  0
718000	2	0	1	1	00	00	  0
718000	2	0	1	1	00	00	  0
718000	2	0	1	1	00	00	  0
718000	2	0	1	1	00	00	  0
718000	2	0	1	1	00	00	  0
719000	2	0	1	1	00	00	  0
719000	2	0	1	1	00	00	  0
719000	2	0	1	1	00	00	  0
719000	2	0	1	1	00	00	  0
719000	2	0	1	1	00	00	  0
720000	2	0	1	1	00	00	  0
720000	2	0	1	1	00	00	  0
720000	2	0	1	1	00	00	  0
720000	2	0	1	1	00	00	  0
720000	2	0	1	1	00	00	  0
721000	2	0	1	1	00	00	  0
721000	2	0	1	1	00	00	  0
721000	2	0	1	1	00	00	  0
721000	2	0	1	1	00	00	  0
721000	2	0	1	1	00	00	  0
722000	2	0	1	1	00	00	  0
722000	2	0	1	1	00	00	  0
722000	2	0	1	1	00	00	  0
722000	2	0	1	1	00	00	  0
722000	2	0	1	1	00	00	  0
723000	2	0	1	1	00	00	  0
723000	2	0	1	1	00	00	  0
723000	2	0	1	1	00	00	  0
723000	2	0	1	1	00	00	  0
723000	2	0	1	1	00	00	  0
724000	2	0	1	1	00	00	  0
724000	2	0	1	1	00	00	  0
724000	2	0	1	1	00	00	  0
724000	2	0	1	1	00	00	  0
724000	2	0	1	1	00	00	  0
725000	2	0	1	1	00	00	  0
725000	2	0	1	1	00	00	  0
725000	2	0	1	1	00	00	  0
725000	2	0	1	1	00	00	  0
725000	2	0	1	1	00	00	  0
726000	2	0	1	1	00	00	  0
726000	2	0	1	1	00	00	  0
726000	2	0	1	1	00	00	  0
726000	2	0	1	1	00	00	  0
726000	2	0	1	1	00	00	  0
727000	2	0	1	1	00	00	  0
727000	2	0	1	1	00	00	  0
727000	2	0	1	1	00	00	  0
727000	2	0	1	1	00	00	  0
727000	2	0	1	1	00	00	  0
728000	2	0	1	1	00	00	  0
728000	2	0	1	1	00	00	  0
728000	2	0	1	1	00	00	  0
728000	2	0	1	1	00	00	  0
728000	2	0	1	1	00	00	  0
729000	2	0	1	1	00	00	  0
729000	2	0	1	1	00	00	  0
729000	2	0	1	1	00	00	  0
729000	2	0	1	1	00	00	  0
729000	2	0	1	1	00	00	  0
730000	2	0	1	1	00	00	  0
730000	2	0	1	1	00	00	  0
730000	2	0	1	1	00	00	  0
730000	2	0	1	1	00	00	  0
730000	2	0	1	1	00	00	  0
731000	2	0	1	1	00	00	  0
731000	2	0	1	1	00	00	  0
731000	2	0	1	1	00	00	  0
731000	2	0	1	1	00	00	  0
731000	2	0	1	1	00	00	  0
732000	2	0	1	1	00	00	  0
732000	2	0	1	1	00	00	  0
732000	2	0	1	1	00	00	  0
732000	2	0	1	1	00	00	  0
732000	2	0	1	1	00	00	  0
733000	2	0	1	1	00	00	  0
733000	2	0	1	1	00	00	  0
733000	2	0	1	1	00	00	  0
733000	2	0	1	1	00	00	  0
733000	2	0	1	1	00	00	  0
734000	2	0	1	1	00	00	  0
734000	2	0	1	1	00	00	  0
734000	2	0	1	1	00	00	  0
734000	2	0	1	1	00	00	  0
734000	2	0	1	1	00	00	  0
735000	2	0	1	1	00	00	  0
735000	2	0	1	1	00	00	  0
735000	2	0	1	1	00	00	  0
735000	2	0	1	1	00	00	  0
735000	2	0	1	1	00	00	  0
736000	2	0	1	1	00	00	  0
736000	2	0	1	1	00	00	  0
736000	2	0	1	1	00	00	  0
736000	2	0	1	1	00	00	  0
736000	2	0	1	1	00	00	  0
737000	2	0	1	1	00	00	  0
737000	2	0	1	1	00	00	  0
737000	2	0	1	1	00	00	  0
737000	2	0	1	1	00	00	  0
737000	2	0	1	1	00	00	  0
738000	2	0	1	1	00	00	  0
738000	2	0	1	1	00	00	  0
738000	2	0	1	1	00	00	  0
738000	2	0	1	1	00	00	  0
738000	2	0	1	1	00	00	  0
739000	2	0	1	1	00	00	  0
739000	2	0	1	1	00	00	  0
739000	2	0	1	1	00	00	  0
739000	2	0	1	1	00	00	  0
739000	2	0	1	1	00	00	  0
740000	2	0	1	1	00	00	  0
740000	2	0	1	1	00	00	  0
740000	2	0	1	1	00	00	  0
740000	2	0	1	1	00	00	  0
740000	2	0	1	1	00	00	  0
741000	2	0	1	1	00	00	  0
741000	2	0	1	1	00	00	  0
741000	2	0	1	1	00	00	  0
741000	2	0	1	1	00	00	  0
741000	2	0	1	1	00	00	  0
742000	2	0	1	1	00	00	  0
742000	2	0	1	1	00	00	  0
742000	2	0	1	1	00	00	  0
742000	2	0	1	1	00	00	  0
742000	2	0	1	1	00	00	  0
743000	2	0	1	1	00	00	  0
743000	2	0	1	1	00	00	  0
743000	2	0	1	1	00	00	  0
743000	2	0	1	1	00	00	  0
743000	2	0	1	1	00	00	  0
744000	2	0	1	1	00	00	  0
744000	2	0	1	1	00	00	  0
744000	2	0	1	1	00	00	  0
744000	2	0	1	1	00	00	  0
744000	2	0	1	1	00	00	  0
745000	2	0	1	1	00	00	  0
745000	2	0	1	1	00	00	  0
745000	2	0	1	1	00	00	  0
745000	2	0	1	1	00	00	  0
745000	2	0	1	1	00	00	  0
746000	2	0	1	1	00	00	  0
746000	2	0	1	1	00	00	  0
746000	2	0	1	1	00	00	  0
746000	2	0	1	1	00	00	  0
746000	2	0	1	1	00	00	  0
